id,nome,categoria,numeri,note
526,Rianimatore guardia,RUBRICA,5556,
527,Riccardi,RUBRICA,5161|4301,|
528,Risorse umane,RUBRICA,4418,
529,Risorse umane ucsc,RUBRICA,8764,
530,Rossi,RUBRICA,3288,tp dolore
531,Sala generali,RUBRICA,6533,
532,Sala ORL,RUBRICA,6587,
533,Sala parto,RUBRICA,3109|3118|4821|6343,|||
534,Sala specialistiche,RUBRICA,3171,
535,Sala urgenze,RUBRICA,6536,
536,Sala urologia,RUBRICA,3265,
537,Scintigrafia miocardico,RUBRICA,5658,
538,Scuole specializzazione,RUBRICA,4255|4275,|
539,Segreteria Annalisa,RUBRICA,4786,
540,Segreteria dipartimento,RUBRICA,7023,
541,Segreteria neurologia,RUBRICA,4303|4435,|
542,Segreteria Pina,RUBRICA,4334,9 piano ala Q
543,Segreteria specializzazione,RUBRICA,4275|4255,|
544,Senologia,RUBRICA,6626,
545,Service desk,RUBRICA,7852,
546,Servizio aferesi,RUBRICA,4514,
547,Servizi sociali,RUBRICA,3291|3484,Francesca Giansante|Paciocca
548,Sganga palliative,RUBRICA,3706,
549,SI,RUBRICA,9169|7012|7852|4990,|||
550,SMET,RUBRICA,4438|5441|6329,||
551,Soave (antiveleni),RUBRICA,3372,
552,Sollazzi,RUBRICA,3166|3212,|
553,Solventi 1,RUBRICA,6362|4799,|
554,Solventi 2,RUBRICA,5401,
555,Solventi 3,RUBRICA,5615,
556,Solventi 5,RUBRICA,4347,
557,Solventi 7,RUBRICA,4293,
558,Sorveglianza sanitaria,RUBRICA,7290,
559,Sorveglianza sanitaria specializzandi,RUBRICA,8770|8771,|
560,Specializzazione,RUBRICA,4932,
561,Stabilizzazione int,RUBRICA,4761|4453|5889,||
562,Stroke DECT,RUBRICA,3174|3175,|
563,Stroke reparto,RUBRICA,6321,
564,SUB-TIN,RUBRICA,7728,
565,Tacconelli,RUBRICA,5527,
566,TAO 8 piano,RUBRICA,4438,
567,Tecnico radiologia,RUBRICA,4579|4674|3136|5942|3416,||DECT tecnico Rx a letto||
568,Terapia dolore,RUBRICA,5195|3466|3288,||Rossi
569,TIN,RUBRICA,4357|7728,|SUB-TIN
570,TINCH,RUBRICA,3185,
571,TIP,RUBRICA,5203|5283|3125,||
572,TIPO,RUBRICA,5299|6635,|
573,Torace a letto,RUBRICA,3136,DECT tecnico
574,Toracica,RUBRICA,6064|3246|4789|6353|3181|4393,|reperibile consulenze||||
575,Torrice,RUBRICA,3240,
576,Trasfusionale,RUBRICA,3114|3134|4373|4610|4514,"sangue||||donazione, aferesi"
577,Trapianti,RUBRICA,4609,
578,Trapianti fegato,RUBRICA,4469,
579,Triage PS,RUBRICA,4036|4037,|
580,Triage PS pediatrico,RUBRICA,8270,
581,Turriziani,RUBRICA,3190,
582,4U,RUBRICA,5351,
583,UFA,RUBRICA,6737,
584,Ufficio Mensa e Badge stanza,RUBRICA,130|4448,|
585,Ufficio ricerca,RUBRICA,4952,
586,Ufficio Stranieri,RUBRICA,5892,
587,Urologo di guardia,RUBRICA,3123,
588,Urologia,RUBRICA,3199|4039|5252|3265|4478|4605|3182,|PS|appuntamenti cistoscopia|sala|||
589,UTIC,RUBRICA,3126|4444,|
590,Valentini,RUBRICA,3216,
591,Valenza,RUBRICA,4634,medicina nucleare
592,Vertebrale,RUBRICA,4993|4593,|
593,Vetrugno,RUBRICA,4987,risk.management@policlinicogemelli.it
594,Vecchioli,RUBRICA,3268,
595,Vigilantes,RUBRICA,3373,
596,Volpe,RUBRICA,3293,
597,VN,RUBRICA,4417,
598,VP,RUBRICA,8562|8752,|
599,Zampino,RUBRICA,5210,
600,Emergenze sanitarie,COLUMBUS,9555,
601,Emergenza incendio e altre emergenze,COLUMBUS,9000,
602,Medico di Guardia,COLUMBUS,9913,
603,Rianimatore,COLUMBUS,9906,
604,0 Est,COLUMBUS,5552|9391|5532,medici|specializzandi|infermieri
605,1 Ovest,COLUMBUS,9726,
606,1 Est,COLUMBUS,9648,
607,2 Nord,COLUMBUS,3795|9731,medici|infermieri
608,2 Ovest,COLUMBUS,9730,
609,3 Est,COLUMBUS,9733,
610,3 Ovest,COLUMBUS,9734,
611,TICO,COLUMBUS,9740,
612,Radiologia Columbus,COLUMBUS,9688|9893,|
613,Radiologia Columbus Eco,COLUMBUS,9742,
614,Radiologia Columbus Infante,COLUMBUS,9570,
615,Radiologia Columbus Medici sala TC,COLUMBUS,9987,
616,Radiologia Columbus Pirronti,COLUMBUS,9837,
617,Radiologia Columbus RMN,COLUMBUS,8288|8289,|
618,Radiologia Columbus Rx,COLUMBUS,9338,
619,Radiologia Columbus TC,COLUMBUS,9986|9849|9987,||medici
620,Addolorato Columbus,COLUMBUS,5650,
621,Assistenza sociale Columbus,COLUMBUS,9501|9925,|Ferri
622,Bed management Columbus,COLUMBUS,7331|3731|3275,||
623,Cardiologo Columbus,COLUMBUS,9918,
624,Chirurgo Columbus,COLUMBUS,3471,
625,Columbus gastro,COLUMBUS,9726,
626,Continuita assistenziale Columbus,COLUMBUS,9963,ccacovid19@policlinicogemelli.it
627,Endoscopia Columbus,COLUMBUS,7277|9349,|
628,Ferri Columbus,COLUMBUS,9925,
629,PICC Giuseppe Iurato Columbus,COLUMBUS,3497684536,
630,Rehab Columbus,COLUMBUS,5532,Liperoti
631,Ambulanza trasporti,SERVIZI,3474120724,
632,Camminatore,SERVIZI,3486016022,
633,Caldaista,SERVIZI,9934,
634,Copma,SERVIZI,9933,
635,Cucina,SERVIZI,9712,
636,CUT,SERVIZI,9834|3426336723,|festivi
637,Guardia giurata,SERVIZI,3373|4669,|
638,Lavanderia,SERVIZI,9783,
639,Manutenzione/riparazioni,SERVIZI,5000,
640,Portineria,SERVIZI,9646,
641,Servizio mortuario,SERVIZI,3367,
642,Sitra CIC,SERVIZI,9832|9572,|
644,Emergenze Sanitarie Gemelli,GUARDIE E URGENZE,5555,
645,Infermieri. 11N,,5394,
646,2B,REPARTI,4171|3623,|
